Pokemon,Move,Accuracy,BasePower,Category,PP,Priority,CritRatio,Target,Type
bulbasaur,cut,95,50,Physical,30,0,1,normal,Normal
ivysaur,cut,95,50,Physical,30,0,1,normal,Normal
venusaur,cut,95,50,Physical,30,0,1,normal,Normal
charmander,cut,95,50,Physical,30,0,1,normal,Normal
charmeleon,cut,95,50,Physical,30,0,1,normal,Normal
charizard,cut,95,50,Physical,30,0,1,normal,Normal
beedrill,cut,95,50,Physical,30,0,1,normal,Normal
rattata,cut,95,50,Physical,30,0,1,normal,Normal
raticate,cut,95,50,Physical,30,0,1,normal,Normal
sandshrew,cut,95,50,Physical,30,0,1,normal,Normal
sandslash,cut,95,50,Physical,30,0,1,normal,Normal
nidoran-f,cut,95,50,Physical,30,0,1,normal,Normal
nidorina,cut,95,50,Physical,30,0,1,normal,Normal
nidoqueen,cut,95,50,Physical,30,0,1,normal,Normal
nidoran-m,cut,95,50,Physical,30,0,1,normal,Normal
nidorino,cut,95,50,Physical,30,0,1,normal,Normal
nidoking,cut,95,50,Physical,30,0,1,normal,Normal
oddish,cut,95,50,Physical,30,0,1,normal,Normal
gloom,cut,95,50,Physical,30,0,1,normal,Normal
vileplume,cut,95,50,Physical,30,0,1,normal,Normal
paras,cut,95,50,Physical,30,0,1,normal,Normal
parasect,cut,95,50,Physical,30,0,1,normal,Normal
diglett,cut,95,50,Physical,30,0,1,normal,Normal
dugtrio,cut,95,50,Physical,30,0,1,normal,Normal
meowth,cut,95,50,Physical,30,0,1,normal,Normal
persian,cut,95,50,Physical,30,0,1,normal,Normal
bellsprout,cut,95,50,Physical,30,0,1,normal,Normal
weepinbell,cut,95,50,Physical,30,0,1,normal,Normal
victreebel,cut,95,50,Physical,30,0,1,normal,Normal
tentacool,cut,95,50,Physical,30,0,1,normal,Normal
tentacruel,cut,95,50,Physical,30,0,1,normal,Normal
farfetch’d,cut,95,50,Physical,30,0,1,normal,Normal
krabby,cut,95,50,Physical,30,0,1,normal,Normal
kingler,cut,95,50,Physical,30,0,1,normal,Normal
lickitung,cut,95,50,Physical,30,0,1,normal,Normal
rhydon,cut,95,50,Physical,30,0,1,normal,Normal
tangela,cut,95,50,Physical,30,0,1,normal,Normal
kangaskhan,cut,95,50,Physical,30,0,1,normal,Normal
scyther,cut,95,50,Physical,30,0,1,normal,Normal
pinsir,cut,95,50,Physical,30,0,1,normal,Normal
kabutops,cut,95,50,Physical,30,0,1,normal,Normal
dragonite,cut,95,50,Physical,30,0,1,normal,Normal
mew,cut,95,50,Physical,30,0,1,normal,Normal
chikorita,cut,95,50,Physical,30,0,1,normal,Normal
bayleef,cut,95,50,Physical,30,0,1,normal,Normal
meganium,cut,95,50,Physical,30,0,1,normal,Normal
cyndaquil,cut,95,50,Physical,30,0,1,normal,Normal
quilava,cut,95,50,Physical,30,0,1,normal,Normal
typhlosion,cut,95,50,Physical,30,0,1,normal,Normal
typhlosion-hisui,cut,95,50,Physical,30,0,1,normal,Normal
totodile,cut,95,50,Physical,30,0,1,normal,Normal
