Num,Name,Type1,Type2,Gendered,HP,ATK,DEF,SPA,SPD,SPE,Total,ability_0,ability_1,ability_H,height,weight,prevo
1,Bulbasaur,Grass,Poison,True,45,49,49,65,65,45,318,Overgrow,,Chlorophyll,0.7,6.9,
2,Ivysaur,Grass,Poison,True,60,62,63,80,80,60,405,Overgrow,,Chlorophyll,1.0,13.0,Bulbasaur
3,Venusaur,Grass,Poison,True,80,82,83,100,100,80,525,Overgrow,,Chlorophyll,2.0,100.0,Ivysaur
4,Charmander,Fire,,True,39,52,43,60,50,65,309,Blaze,,Solar Power,0.6,8.5,
5,Charmeleon,Fire,,True,58,64,58,80,65,80,405,Blaze,,Solar Power,1.1,19.0,Charmander
6,Charizard,Fire,Flying,True,78,84,78,109,85,100,534,Blaze,,Solar Power,1.7,90.5,Charmeleon
7,Squirtle,Water,,True,44,48,65,50,64,43,314,Torrent,,Rain Dish,0.5,9.0,
8,Wartortle,Water,,True,59,63,80,65,80,58,405,Torrent,,Rain Dish,1.0,22.5,Squirtle
9,Blastoise,Water,,True,79,83,100,85,105,78,530,Torrent,,Rain Dish,1.6,85.5,Wartortle
10,Caterpie,Bug,,False,45,30,35,20,20,45,195,Shield Dust,,Run Away,0.3,2.9,
11,Metapod,Bug,,False,50,20,55,25,25,30,205,Shed Skin,,,0.7,9.9,Caterpie
12,Butterfree,Bug,Flying,False,60,45,50,90,80,70,395,Compound Eyes,,Tinted Lens,1.1,32.0,Metapod
13,Weedle,Bug,Poison,False,40,35,30,20,20,50,195,Shield Dust,,Run Away,0.3,3.2,
14,Kakuna,Bug,Poison,False,45,25,50,25,25,35,205,Shed Skin,,,0.6,10.0,Weedle
15,Beedrill,Bug,Poison,False,65,90,40,45,80,75,395,Swarm,,Sniper,1.0,29.5,Kakuna
16,Pidgey,Normal,Flying,False,40,45,40,35,35,56,251,Keen Eye,Tangled Feet,Big Pecks,0.3,1.8,
